PROJECT;FILE;LOC;COM;BLK;NOF;NOC;APF;AMC;NER;NEH;CYC;MAD;BUILD_FAIL
scikit-learn;./scikit-learn\examples\applications\wikipedia_principal_eigenvector.py;183;23;45;5;0;2.4;0.0;0;0;24;13;0
scikit-learn;./scikit-learn\examples\bicluster\plot_bicluster_newsgroups.py;131;7;32;3;1;1.0;1.0;0;0;9;10;0
scikit-learn;./scikit-learn\examples\bicluster\plot_spectral_biclustering.py;103;50;20;0;0;0.0;0.0;0;0;1;8;0
scikit-learn;./scikit-learn\examples\bicluster\plot_spectral_coclustering.py;41;3;15;0;0;0.0;0.0;0;0;1;7;0
scikit-learn;./scikit-learn\examples\calibration\plot_calibration.py;117;19;23;0;0;0.0;0.0;0;0;2;9;0
scikit-learn;./scikit-learn\examples\calibration\plot_calibration_curve.py;285;118;51;2;1;2.5;2.0;0;0;11;12;0
scikit-learn;./scikit-learn\examples\calibration\plot_calibration_multiclass.py;264;93;40;0;0;0.0;0.0;0;0;5;9;0
scikit-learn;./scikit-learn\examples\calibration\plot_compare_calibration.py;253;157;29;2;1;2.5;2.0;0;0;3;8;0
scikit-learn;./scikit-learn\examples\classification\plot_classification_probability.py;218;69;23;0;0;0.0;0.0;0;0;6;10;0
scikit-learn;./scikit-learn\examples\classification\plot_classifier_comparison.py;138;10;19;0;0;0.0;0.0;0;0;5;9;0
scikit-learn;./scikit-learn\examples\classification\plot_digits_classification.py;102;53;26;0;0;0.0;0.0;0;0;5;8;0
scikit-learn;./scikit-learn\examples\classification\plot_lda.py;87;8;20;1;0;2.0;0.0;0;0;4;10;0
scikit-learn;./scikit-learn\examples\classification\plot_lda_qda.py;204;57;24;3;0;4.33;0.0;0;0;3;10;0
scikit-learn;./scikit-learn\examples\cluster\plot_adjusted_for_chance_measures.py;195;90;34;3;0;3.67;0.0;0;0;7;9;0
scikit-learn;./scikit-learn\examples\cluster\plot_affinity_propagation.py;64;11;14;0;0;0.0;0.0;0;0;3;8;0
scikit-learn;./scikit-learn\examples\cluster\plot_agglomerative_clustering.py;68;8;16;0;0;0.0;0.0;0;0;4;10;0
scikit-learn;./scikit-learn\examples\cluster\plot_agglomerative_clustering_metrics.py;116;7;30;1;0;1.0;0.0;0;0;11;13;0
scikit-learn;./scikit-learn\examples\cluster\plot_agglomerative_dendrogram.py;42;8;13;1;0;1.0;0.0;0;0;4;9;0
scikit-learn;./scikit-learn\examples\cluster\plot_birch_vs_minibatchkmeans.py;90;9;18;0;0;0.0;0.0;0;0;5;9;0
scikit-learn;./scikit-learn\examples\cluster\plot_bisect_kmeans.py;48;7;20;0;0;0.0;0.0;0;0;4;9;0
scikit-learn;./scikit-learn\examples\cluster\plot_cluster_comparison.py;258;21;29;0;0;0.0;0.0;0;0;6;11;0
scikit-learn;./scikit-learn\examples\cluster\plot_coin_segmentation.py;85;29;19;0;0;0.0;0.0;0;0;3;10;0
scikit-learn;./scikit-learn\examples\cluster\plot_coin_ward_segmentation.py;72;25;20;0;0;0.0;0.0;0;0;2;10;0
scikit-learn;./scikit-learn\examples\cluster\plot_dbscan.py;106;40;26;0;0;0.0;0.0;0;0;4;8;0
scikit-learn;./scikit-learn\examples\cluster\plot_dict_face_patches.py;72;12;22;0;0;0.0;0.0;0;0;6;12;0
scikit-learn;./scikit-learn\examples\cluster\plot_digits_agglomeration.py;48;2;10;0;0;0.0;0.0;0;0;4;8;0
scikit-learn;./scikit-learn\examples\cluster\plot_digits_linkage.py;64;6;24;1;0;3.0;0.0;0;0;4;11;0
scikit-learn;./scikit-learn\examples\cluster\plot_face_compress.py;165;82;25;0;0;0.0;0.0;0;1;4;9;0
scikit-learn;./scikit-learn\examples\cluster\plot_feature_agglomeration_vs_univariate_selection.py;94;27;19;0;0;0.0;0.0;0;0;2;9;0
scikit-learn;./scikit-learn\examples\cluster\plot_hdbscan.py;226;117;23;1;0;6.0;0.0;0;0;17;12;0
scikit-learn;./scikit-learn\examples\cluster\plot_inductive_clustering.py;95;8;34;6;1;2.33;4.0;0;0;2;8;0
scikit-learn;./scikit-learn\examples\cluster\plot_kmeans_assumptions.py;142;72;36;0;0;0.0;0.0;0;0;1;8;0
scikit-learn;./scikit-learn\examples\cluster\plot_kmeans_digits.py;173;52;33;1;0;4.0;0.0;0;0;1;8;0
scikit-learn;./scikit-learn\examples\cluster\plot_kmeans_plusplus.py;33;5;12;0;0;0.0;0.0;0;0;2;7;0
scikit-learn;./scikit-learn\examples\cluster\plot_kmeans_silhouette_analysis.py;132;28;30;0;0;0.0;0.0;0;0;4;9;0
scikit-learn;./scikit-learn\examples\cluster\plot_kmeans_stability_low_dim_dense.py;104;9;28;1;0;4.0;0.0;0;0;5;10;0
scikit-learn;./scikit-learn\examples\cluster\plot_linkage_comparison.py;148;16;30;0;0;0.0;0.0;0;0;6;11;0
scikit-learn;./scikit-learn\examples\cluster\plot_mean_shift.py;53;12;16;0;0;0.0;0.0;0;0;2;7;0
scikit-learn;./scikit-learn\examples\cluster\plot_mini_batch_kmeans.py;118;26;29;0;0;0.0;0.0;0;0;4;7;0
scikit-learn;./scikit-learn\examples\cluster\plot_optics.py;88;8;20;0;0;0.0;0.0;0;0;5;8;0
scikit-learn;./scikit-learn\examples\cluster\plot_segmentation_toy.py;88;26;30;0;0;0.0;0.0;0;0;1;8;0
scikit-learn;./scikit-learn\examples\cluster\plot_ward_structured_vs_unstructured.py;104;34;24;0;0;0.0;0.0;0;0;3;10;0
scikit-learn;./scikit-learn\examples\compose\plot_column_transformer.py;159;54;27;2;0;1.0;0.0;0;0;4;13;0
